the tale of mrs. tiggy winkle beatrix potter.txt	-0,05505
the tale of peter rabbit by beatrix potter beatrix potter.txt	0,09680
the tale of pigling bland beatrix potter.txt	-0,07436
the tale of the flopsy bunnies beatrix potter.txt	-0,007992
the tale of timmy tiptoes beatrix potter.txt	-0,04598
the tale of two bad mice beatrix potter.txt	-0,09452
the thief and his master brothers grimm.txt	0,02134
the third voyage of sinbad the sailor arabian writer.txt	0,01760
the thorny road of honour h c andersen.txt	0,07650
the three apprentices brothers grimm.txt	0,03127
the three army surgeons brothers grimm.txt	0,01503
the three black princesses brothers grimm.txt	-0,01122
the three brothers brothers grimm.txt	-0,008504
the three feathers brothers grimm.txt	0,05973
the three gossips wager la fontain.txt	-0,02022
the three languages brothers grimm.txt	-0,04437
the three little birds brothers grimm.txt	0,03712
the three little men in the wood brothers grimm.txt	-0,04585
the three princes and the princess nouronnihar arabian writer.txt	-0,1000
the three sluggards brothers grimm.txt	-0,09568
the three snake leaves brothers grimm.txt	0,01129
the three sons of fortune brothers grimm.txt	-0,01437
the three spinners brothers grimm.txt	-0,02715
the tiger the brahman and the jackal indian writer.txt	0,05533
the tongue cut sparrow japanese writer.txt	-0,04247
the tracks in the snow arthur scott bailey.txt	0,001299
the truckers la fontain.txt	0,01130
the true sweethearts brothers grimm.txt	-0,001614
the turnip brothers grimm.txt	-0,03229
the twelve brothers brothers grimm.txt	-0,004559
the twelve huntsmen brothers grimm.txt	0,09841
the twelve idle servants brothers grimm.txt	0,03058
the two brothers brothers grimm.txt	-0,09333
the two friends la fontain.txt	0,01898
the two kings children brothers grimm.txt	0,009364
the two travellers brothers grimm.txt	-0,06922
the ungrateful son brothers grimm.txt	0,0005544
the valiant little tailor brothers grimm.txt	-0,06586
the water nix brothers grimm.txt	0,002015
the water of life brothers grimm.txt	0,04881
the wedding of mrs. fox brothers grimm.txt	0,007618
the white bride and the black one brothers grimm.txt	0,08340
the white hare and the crocodiles japanese writer.txt	0,007175
the white snake brothers grimm.txt	0,008031
the wilful child brothers grimm.txt	-0,003211
the willow wren and the bear brothers grimm.txt	0,05490
the willow wren brothers grimm.txt	0,08994
the wind tells about waldemar daa and his daughters h c andersen.txt	-0,06083
the wise servant brothers grimm.txt	-0,02491
the wishing table the gold ass and the cudgel in the sack brothers grimm.txt	-0,01154
the wolf and the fox brothers grimm.txt	0,03031
the wolf and the man brothers grimm.txt	-0,07520
the wolf and the seven little kids brothers grimm.txt	-0,04002
the wonderful musician brothers grimm.txt	-0,03622
the young giant brothers grimm.txt	-0,001491
there is a difference h c andersen.txt	-0,001589
third visit h c andersen.txt	0,08740
thirtieth evening h c andersen.txt	0,05045
thirty first evening h c andersen.txt	-0,02641
thirty second evening h c andersen.txt	0,03801
thumbling as journeyman brothers grimm.txt	0,006335
thumbling brothers grimm.txt	-0,02036
twelfth evening h c andersen.txt	-0,03777
twentieth evening h c andersen.txt	0,01908
twenty eighth evening h c andersen.txt	0,03645
twenty first evening h c andersen.txt	0,01295
twenty fourth evening h c andersen.txt	0,09413
twenty second evening h c andersen.txt	0,05083
twenty third evening h c andersen.txt	-0,03091
under the willow tree h c andersen.txt	0,01083
what the moon saw h c andersen.txt	-0,005259
what the old man does is always right h c andersen.txt	0,0003009
why the fish laughed indian writer.txt	0,02732
wise folks brothers grimm.txt	0,02467
