clever grethel brothers grimm.txt, 0.8445, 0.2287, 0.6028, 0.3755, 0.6919, 1.000, 0.9495, 0.4860, 0.000, 0.04481
clever hans brothers grimm.txt, 0.3383, 0.000, 0.6069, 0.7528, 0.1640, 1.000, 0.8008, 0.5139, 0.7306, 0.4751
death s messengers brothers grimm.txt, 0.5503, 0.1503, 0.7674, 1.000, 0.4172, 0.4887, 0.7863, 0.4967, 0.5974, 0.000
doctor knowall brothers grimm.txt, 0.8481, 0.1761, 1.000, 0.3691, 0.1649, 0.000, 0.4936, 0.3088, 0.5018, 0.6805
donkey cabbages brothers grimm.txt, 0.7091, 0.5053, 1.000, 0.3765, 0.000, 0.2321, 0.7371, 0.8614, 0.2892, 0.6632
eighth evening h c andersen.txt, 0.2340, 0.4207, 0.5103, 0.4811, 0.000, 0.7949, 0.4724, 1.000, 0.5139, 0.3970
evaporated apples arthur scott bailey.txt, 0.3820, 0.8691, 1.000, 0.7320, 0.5139, 0.4024, 0.000, 0.7349, 0.3829, 0.3695
eve s various children brothers grimm.txt, 0.8416, 0.8389, 0.7230, 0.6898, 0.3722, 0.7689, 0.4865, 0.000, 1.000, 0.9687
everything in its right place h c andersen.txt, 0.000, 0.3516, 0.8108, 0.8894, 0.7778, 0.6737, 1.000, 0.3817, 0.2086, 0.5282
fair katrinelje and pif paf poltrie brothers grimm.txt, 0.000, 0.5200, 0.5838, 0.3683, 0.6984, 0.4315, 0.5380, 1.000, 0.1466, 0.01569
faithful john brothers grimm.txt, 0.000, 0.3754, 0.3324, 1.000, 0.4731, 0.5756, 0.5764, 0.3143, 0.1157, 0.4939
fatty and the green corn arthur scott bailey.txt, 0.2270, 0.3190, 1.000, 0.08335, 0.4925, 0.5915, 0.000, 0.4414, 0.03406, 0.2012
fatty coon and the monster arthur scott bailey.txt, 0.7618, 0.4748, 1.000, 0.7851, 0.9814, 0.9130, 0.000, 0.1707, 0.8560, 0.1535
fatty coon at home arthur scott bailey.txt, 0.4452, 0.3433, 0.4570, 0.4861, 0.3209, 1.000, 0.1756, 0.9651, 0.5211, 0.000
fatty coon goes fishing arthur scott bailey.txt, 0.3718, 1.000, 0.9555, 0.9420, 0.6315, 0.000, 0.5410, 0.5330, 0.3869, 0.4497
